year,review
2021,"Really like what Brilliant is doing and love their interactive content.

Sadly the app crashes often and my streak is stuck at 0. Finishing a course also crashes the app."
2021,"This app allows me to learn things that were previously really hard, although the membership is extremely expensive."
2021,Helpful for upcoming freshmans
2021,"Let’s not pretend that this is college level training. Yes you can learn a great deal from these courses but it’s not going to make you an engineer.

I am starting out with the courses on Machine Learning. Good stuff! But there a lot to be desired with visualization and comparative contrasts between similar methodologies, which would really help with understanding the material. Text just doesn’t convey understanding.

I bought a whole year and I look forward to replacing my gaming with useful learning instead!"
2021,"Things with sliders want to slide to the next page, leaving interaction with the slider and the page itself non-discrete."
2021,Good app
2021,I haven’t been able to use it for very long but I’m already enjoying learning new concepts and strengthening my understanding on old.
2021,"I’ve only done a few lessons with the free version. It’s pretty basic stuff so far, but I love doing the quizzes rather than scrolling through social media"
2021,"I really like the lessons and I think they fit the phone or a small tablet really well but are a little more clunky on a larger display.

But all the lessons are great and the daily challenges are a nice activity to do every day"
2021,Informative and educational... the words are simple to understand and their is an explanation to everything
2021,Really great platform
2021,"I found this app through instagram marketing (as i’m sure many of you did as well). It ended up living up to most of the hype. The topics are broad and relevant. The quizzes are quick and simple, yet effective and brain-teasing. For anyone who likes learning, this is a great app, and for those who love a visual element to their learning, look nowhere else.

’But sir, you only gave it four stars,’ you say? (Brilliant developers, I hope you are reading these) It could be significantly better if there were scoring, points accumulation, a social element, rewards, or other features to make it more fun and engaging. Especially at this price point. That said, I’m enjoying the platform and look forward to future versions."
2021,Down side. The app is unusable at Times on my 2020 iPad Pro 11. It freezes or thinks I’m in offline mode.
2021,Love it
