year,review
2021,"There is no way to opt out of reoccurring billing. You receive no email updating you of the upcoming charge and renewal. If you don’t go into account settings often or write the date on the calendar before it bills, you will get billed if you don’t cancel prior to that date. I wonder how much of their revenue is generated off of people forgetting and not noticing the billing cycle rolling over until it hits their account. It would be a 5 star app if not for absent option to avoid reoccurring charge."
2021,"The logic section where ordering the robots is so buggy the problems cannot be completed. Once dragging a robot cannot place back. And number of slots/spaces reduces or disappears. Very annoying! Will lose 7-day trial before this could be addressed. Very annoyed. Lost interest.

Also, why do the little audio effects have to pause whatever I’m listening to in the background? That’s incredibly annoying. 

These things are a big impediment to being s able to evaluate the efficacy of the content, and are really basic iOS UX/UI best practices. 

I won’t be subscribing now. I’ll check back in a year."
2021,"For a service about learning it expects you to already know the subject. So many quizzes are the “here’s a problem that was the magnum opus of a famous mathematician, what’s the solution? 😎👏”. You’ll get maybe one question about something important, it’ll be described in a dense, inaccessible way the next step then never built or practiced on. Or you’ll get the usual bevy of abstract ways to describe what you’re learning while expecting you to know how to convert it to algebra. No audio option, just a bunch of dense text. 

If you need to learn something, don’t spend your money on this over hyped malaise."
2021,I see price spiked significantly. With no monthly option I don’t see enough value. App seems unfinished as bottom menu today or more not working. Content is great but too pricey unfortunately
2021,This app is not actually free. You must sign up for an expensive subscription to use it.
2021,"I wanted to download brilliant because I’ve heard great things about it. However, I could not make an account. I tried to use my email to sign up, but it gave me an error message. I then used my school google account, but I didn’t work either. I didn’t have a Microsoft account, which I think is the other option, so I deleted it. I was puzzled until I learned the brilliant needs to have access to email. I figured that the reason why I couldn’t do it in my normal email was because I had iCloud mail, not email, and my school google account couldn’t receive emails cause school. Anyway please make it so you do not need an email thank you brilliant."
2021,"I have a STRONG appreciation for Brilliant's style and creativity in education: but geez, they can REALLY mess up some of the questions and answers.   
   
These mistakes are the bane of my persistence in these courses regardless (I can't learn well when I'm so frustrated) but at least they have ways to report them!   
...   
Oh wait...   
That’s only if you're using the website...(*)

Though mobile would be more convenient in theory, the lack of any way to send feedback through the app actually worsens my chances of sticking with the courses that I want to be learning from.   
Instead of being able to do something that would help with an issue, I'm not only left powerless, but the course insists that, in order to continue with the lesson, I must select ""okay"" after reading the preposterous 'explanation' for why I'm wrong and the actually-incorrect answer is the one I 'should've' chosen if I'd understood.    
It's just infuriating.  
   
(*) :   
Even so, the report system is very far from satisfactory. Some courses have a more accessible report system available than others that is accessed by a hovering button on the side of the screen (still only on the website though, mobile users are silenced...), but even that is still completely a one-way discussion.
You have no clue if they even received the report, much less if they understood your point, or just discarded it as soon as they felt that you're probably just confused, without necessarily reading the entire report.
It should be brazenly obvious that a public discussion thread tied to the specific question, so the community can discuss if there are any legitimate errors with the subject, and bring any of them to the top of the discussion for the Brilliant editors to see and pay attention to first, but for now just making any improvements at all are my wish."
2022,I honestly wish these apps would tell you if the only option is a paid plan because they now wasted my time. I’m not interested in paying for this type of service. But the place is interesting or looks like it’s worthy potentially for a customer who is interested in purchasing this type of service. But when people aren’t interested in that you should not waste the person’s time you know.
2022,"The math material is very good—well explained with good examples and questions.

The account experience is poor. I can’t change my password on the iPhone. I get the reset email and click on reset link in my account the email. That link takes me back to the app login, and not to any page for resetting the password. An endless, frustrating loop. I’ve experienced frustrations with other small points regarding account menu options. It just creates a frustrating experience outside of the course material. A degree of friction for things that should be easy and seamless."
2022,"The account settings and subscription settings through the app are buggy, will open then close and default to Home Screen."
2022,"This app has a few things here and there that you may learn if you are good at memorization, but other than that they teach you at a very low level. It is frustrating for me to click through a bunch of low level questions, that just so happen to have the answers right above them, and I would only classify myself as moderately intelligent. If you are going to make an app with such little capacity to induce learning then don’t change 120 dollars a year. If the app was free I might have had the will to muddle through all of the basic answers and learn what I could, but I’m not dropping a 120 bomb to use this kids game."
2022,The download offline button does not exsist
2022,This has definitely been a great app but I’m having issues logging in. Could you fix this please?
2022,"I have been progressing several courses on a regular basis, and then had to skip for some time ( a couple of weeks or so). When I came back, even though the top view showed the progress bars correctly, when I would click into the course all the sub courses were pristine, and I would need to figure out where exactly I stopped last time. 

That happened a couple of times already and the most frustrating thing is that even though I have a paid subscription, I submitted a bunch of bug requests regarding this problem and never heard back from them. 

I do enjoy the app, but the customer service is terrible and some small bugs make the experience bad, which does deter me from using the app and making me questioning whether I even want to continue using ( and paying for) it."
2022,"I love the idea, but there’s only 66 lessons in the app and none of them have the material I need to study for the class I’m in right now. I was thinking it was a system where I could search say “krebs cycle” and then play a game to learn it. I can’t imagine how it’s worth $149…maybe for people who just like studying for fun and don’t care much what they study?"
2022,"Going through the Algebra 1+2 courses: As far as I can tell, they are only good as a review if you’ve already learned Algebra 1 and 2. They quiz you on topics *before* explaining the concept, which doesn’t make sense to me. Then they explain the concept, whether you got the answers right or wrong. Afterwards, there is no opportunity to test whether you understand and retain concepts covered.

I don’t see how this is a helpful method for learning. 

The Mathematical Fundamentals course has some fun, if simple, brain teasers. But this is very expensive for a chintzy gaming platform.

Since I’ve already paid for a year of this mess I will continue to explore and hopefully find something worthwhile."
2022,I’ve complained about it several times now via the support section of the app.  Two updates later and still no joy.
2022,"I paid for premium this morning, and then my account immediately went to “can’t verify transaction” except the funds were already taken from my bank account. Clearly the transaction happened. Once I can actually use my account I’ll review whether or not the product made the hassle worth it."
2022,…
2022,"Brilliant is a great service but the app is lacking. Cannot get to lessons in courses often and it does not track stats well, need to login to browser to see all stats."
2022,"I’ve loved this app for years, and I bought premium for a month so I could do some of the full courses since so many of them seem interesting to me. But when I use the mobile version, none of the images load. Most of the quiz questions depend on some graph or picture, but since I can’t see them I usually just have to guess the answer. It’s really annoying. These images do show up on my laptop but I always do Brilliant lessons on my phone as a “I have 10 minutes free right now” type of thing. I don’t want to have to use my laptop every time I want to do a lesson. Please fix this ASAP. My premium month is almost up and this has made the experience significantly less convenient."
2022,"i am canceling my subscription and deleting the app. i can’t deal with all the bugs on ios, offline downloads dont work, support doesnt reply, i can’t even click menu items in the app. definitely not worth $120 and most definitely a lazy app build."
2022,"It is a good app but it subscription plan is tricky. ""Monthly"" plan is actually an annual plan and there is no way switch back to monthly."
2022,"Recently my eyes have become very sensitive to bright lights, which include bright screens.  I become more fatigued when looking at white backgrounds with black text when compared to black backgrounds with white text.

I'm only giving this a 2 star rating in hopes that the developer will see it and maybe reply with either we're working on it or the less desired, it's not in our plans.  If dark mode is in the works and it arrives at some point in the future, I would give it 5 stars.  Love the ease of using my phone for brilliant, but need dark mode to lessen the eye fatigue."
2022,"All the courses I downloaded won’t load despite being downloaded to my phone & I just payed for my yearly subscription, I am really disappointed working on courses offline was the selling point."
2023,I like the concept but it does not explain the problems thoroughly and it makes the experience bad
2023,Companies that require you to bill annually probably don’t have the most confidence in their product. No thanks…
